die,label,method,pair_id,source,target,overlap,iterations,total_ms,cov_ms,sre,sse_sum,gt_t1,gt_t2,gt_t3,gt_t4,gt_t5,gt_t6,gt_t7,gt_t8,gt_t9,gt_t10,gt_t11,gt_t12,est_t1,est_t2,est_t3,est_t4,est_t5,est_t6,est_t7,est_t8,est_t9,est_t10,est_t11,est_t12
die_obverse_0001,local,gicp,362831326790600,L0084D.ply,L0093D.ply,1,100,77775.4,3291.11,0.423411,4306,0.942703,0.333616,0.00323284,-0.106253,-0.332665,0.940666,-0.0669464,0.388801,-0.0253754,0.0620352,0.997751,-0.193347,0.988643,0.144384,-0.0416897,-0.521557,-0.145831,0.988724,-0.0340333,-0.566216,0.0363057,0.0397265,0.998551,0.074588
die_obverse_0001,local,icp,362831326790631,L0084D.ply,L0094D.ply,1,100,12885.8,0,0.167454,1701.47,0.99873,0.00795597,-0.049756,1.87355,-0.00607213,0.999263,0.0378988,-0.280325,0.0500209,-0.0375485,0.998042,0.362929,0.99981,-0.0132427,0.0143044,-0.194903,0.0132067,0.999909,0.00260555,-0.0672863,-0.0143376,-0.00241614,0.999894,0.0148118
die_obverse_0001,local,gicp,362831326790631,L0084D.ply,L0094D.ply,1,100,76500.9,3234.29,0.16782,1854.72,0.99873,0.00795597,-0.049756,1.87355,-0.00607213,0.999263,0.0378988,-0.280325,0.0500209,-0.0375485,0.998042,0.362929,0.999696,-0.0234772,0.00750453,-0.0323566,0.0234562,0.999721,0.00287983,-0.0144095,-0.00757005,-0.00270293,0.999968,-0.0219049
die_obverse_0001,local,icp,362831326790662,L0084D.ply,L0103D.ply,1,100,13516.1,0,0.31106,1976.08,0.954638,-0.288174,-0.0749798,2.74798,0.287055,0.957574,-0.0255306,2.15003,0.079156,0.00284922,0.996858,0.450147,0.999985,-0.0055329,0.000614848,-0.0965705,0.0055411,0.999883,-0.0142476,-0.0867069,-0.000535946,0.0142508,0.999898,0.125626
die_obverse_0001,local,gicp,362831326790662,L0084D.ply,L0103D.ply,1,100,77147,3535.18,0.300206,2138.18,0.954638,-0.288174,-0.0749798,2.74798,0.287055,0.957574,-0.0255306,2.15003,0.079156,0.00284922,0.996858,0.450147,0.999733,-0.0231113,-0.000199813,-0.235264,0.0231097,0.999715,-0.00592926,-0.0717364,0.000336788,0.00592305,0.999982,0.0352952
die_obverse_0001,local,icp,362831326790693,L0084D.ply,L0091D.ply,1,100,14300.2,0,0.417031,3102.71,0.981062,0.178168,0.0759888,-1.77544,-0.174431,0.983225,-0.0533133,1.17597,-0.0842128,0.0390488,0.995682,-0.381096,0.999924,0.00378663,0.0117665,0.235968,-0.00346682,0.999627,-0.0270819,-0.915182,-0.0118647,0.0270391,0.999564,0.282323
die_obverse_0001,local,gicp,362831326790693,L0084D.ply,L0091D.ply,1,100,77669.2,3982.32,0.246528,5895.03,0.981062,0.178168,0.0759888,-1.77544,-0.174431,0.983225,-0.0533133,1.17597,-0.0842128,0.0390488,0.995682,-0.381096,0.999979,-0.0065022,-0.00077335,0.0316134,0.00649921,0.999972,-0.00381275,0.0207528,0.00079812,0.00380764,0.999992,0.0109424
die_obverse_0001,local,icp,362831326790724,L0084D.ply,L0087D.ply,1,100,14498.8,0,0.410511,2747.25,0.986733,0.149706,-0.0628219,1.67919,-0.144365,0.986091,0.082365,-2.35188,0.0742786,-0.0722029,0.99462,0.630878,0.998871,0.0368158,-0.0300121,-0.895119,-0.0370548,0.999285,-0.0074458,-0.784823,0.0297166,0.00854949,0.999522,0.121115
die_obverse_0001,local,gicp,362831326790724,L0084D.ply,L0087D.ply,1,100,77713.1,3726.83,0.504055,2134.5,0.986733,0.149706,-0.0628219,1.67919,-0.144365,0.986091,0.082365,-2.35188,0.0742786,-0.0722029,0.99462,0.630878,0.999117,0.0295132,-0.0298949,-1.04051,-0.0304765,0.999014,-0.0322949,-0.900842,0.0289123,0.0331774,0.999031,0.0845283
die_obverse_0001,local,icp,362831326790755,L0084D.ply,L0096D.ply,1,100,13544,0,0.272433,2477.86,0.970914,0.234054,-0.0504464,1.06409,-0.237025,0.96937,-0.0643553,0.535675,0.0338386,0.0744405,0.996651,0.0929633,0.999409,0.0230466,0.0255191,0.615008,-0.0235729,0.999512,0.0205176,-0.243901,-0.0250338,-0.021107,0.999464,0.119187
die_obverse_0001,local,gicp,362831326790755,L0084D.ply,L0096D.ply,1,100,77042.6,3260.55,0.239522,3228.45,0.970914,0.234054,-0.0504464,1.06409,-0.237025,0.96937,-0.0643553,0.535675,0.0338386,0.0744405,0.996651,0.0929633,0.987211,0.158988,0.0116755,1.00045,-0.158587,0.9869,-0.0296498,-0.47638,-0.0162365,0.027419,0.999492,0.134283
die_obverse_0001,local,icp,362831326790786,L0084D.ply,L0095D.ply,1,100,13364.8,0,0.325603,2545.32,0.997717,0.0602545,0.0304837,-0.696003,-0.0579901,0.995833,-0.0703876,1.58383,-0.0345978,0.0684592,0.997054,-0.23405,0.997843,0.0532838,0.0383332,0.992532,-0.054147,0.998294,0.0218439,-0.419448,-0.0371038,-0.0238724,0.999026,0.132531
die_obverse_0001,local,gicp,362831326790786,L0084D.ply,L0095D.ply,1,100,76818.2,3075.2,0.358368,2794.3,0.997717,0.0602545,0.0304837,-0.696003,-0.0579901,0.995833,-0.0703876,1.58383,-0.0345978,0.0684592,0.997054,-0.23405,0.987981,0.152694,0.024029,1.24866,-0.152299,0.988179,-0.0175123,-0.450365,-0.026419,0.0136422,0.999558,0.112159
